category,product,prompt,description,selProduct,selCountry,selModel,selCouponType,selMetric,selCOBDate,selAttribute,selISIN,selMonthYear,selPortfolio,keyProduct,keyCountry,keyModel,keyCouponType,keyMetric,keyCOBDate,keyAttribute,keyISIN,keyMonthYear
Position snapshot,Bonds,"For KENYA country, provide notional and MTM amounts for bonds.",Provide specific risk metric amounts for a country.,Instead of Bonds you can use Securities or Issuances,"You can input following countries: UNITED KINGDOM, HONG KONG, CHINA, JAPAN, THAILAND, GERMANY, SINGAPORE, TAIWAN, UNITED ARAB EMIRATES, UNITED STATES OF AMERICA, INDIA, MALAYSIA, VIETNAM, ZAMBIA, OMAN, INDONESIA, AUSTRALIA, PHILIPPINES, BAHRAIN, CAMEROON, BOTSWANA, QATAR, COTE D'IVOIRE, SOUTH AFRICA, BANGLADESH, GHANA, SRI LANKA, MAURITIUS, EGYPT, NIGERIA, NEPAL, MACAO, UGANDA, BRUNEI DARUSSALAM, KENYA, IRAQ, GAMBIA, US, UK, UAE",,,"Instead of Notional you can input MtM, Mark-to-Market, RWA, PV01, CR Delta, MV, BV, Market Value, Book Value, CR01, Principal",,"You can add split / grouping by asset class, currency, HQLA category, portfolio, issuer name, coupon type, strategy",,,,Bonds,KENYA,,,notional,,,,
Position snapshot,IRS,"For TAIWAN country, provide MtM amount for IRS.",Get basic position metrics for a country.,,"You can input following countries: UNITED KINGDOM, HONG KONG, CHINA, JAPAN, THAILAND, GERMANY, SINGAPORE, TAIWAN, UNITED ARAB EMIRATES, UNITED STATES OF AMERICA, INDIA, MALAYSIA, VIETNAM, ZAMBIA, OMAN, INDONESIA, AUSTRALIA, PHILIPPINES, BAHRAIN, CAMEROON, BOTSWANA, QATAR, COTE D'IVOIRE, SOUTH AFRICA, BANGLADESH, GHANA, SRI LANKA, MAURITIUS, EGYPT, NIGERIA, NEPAL, MACAO, UGANDA, BRUNEI DARUSSALAM, KENYA, IRAQ, GAMBIA, US, UK, UAE",,,"Instead of MtM you can input Mark-to-Market, RWA, Notional, PV01, CR Delta, MV, BV, Market Value, Book Value, CR01, Principal",,"You can add split / grouping by currency, portfolio, strategy",,,,,TAIWAN,,,MtM,,,,
Position snapshot,IRS,"For TAIWAN country, provide PV01 amount for IRS.",Get basic position metrics for a country.,,"You can input following countries: UNITED KINGDOM, HONG KONG, CHINA, JAPAN, THAILAND, GERMANY, SINGAPORE, TAIWAN, UNITED ARAB EMIRATES, UNITED STATES OF AMERICA, INDIA, MALAYSIA, VIETNAM, ZAMBIA, OMAN, INDONESIA, AUSTRALIA, PHILIPPINES, BAHRAIN, CAMEROON, BOTSWANA, QATAR, COTE D'IVOIRE, SOUTH AFRICA, BANGLADESH, GHANA, SRI LANKA, MAURITIUS, EGYPT, NIGERIA, NEPAL, MACAO, UGANDA, BRUNEI DARUSSALAM, KENYA, IRAQ, GAMBIA, US, UK, UAE",,,"Instead of PV01 you can input MtM, Mark-to-Market, RWA, Notional, CR Delta, MV, BV, Market Value, Book Value, CR01, Principal",,"You can add split / grouping by currency, portfolio, strategy",,,,,TAIWAN,,,PV01,,,,
Position snapshot,Bonds,"For UK country, provide MtM amount for Bonds.",Get basic position metrics for a country.,Instead of Bonds you can use Securities or Issuances,"You can input following countries: UNITED KINGDOM, HONG KONG, CHINA, JAPAN, THAILAND, GERMANY, SINGAPORE, TAIWAN, UNITED ARAB EMIRATES, UNITED STATES OF AMERICA, INDIA, MALAYSIA, VIETNAM, ZAMBIA, OMAN, INDONESIA, AUSTRALIA, PHILIPPINES, BAHRAIN, CAMEROON, BOTSWANA, QATAR, COTE D'IVOIRE, SOUTH AFRICA, BANGLADESH, GHANA, SRI LANKA, MAURITIUS, EGYPT, NIGERIA, NEPAL, MACAO, UGANDA, BRUNEI DARUSSALAM, KENYA, IRAQ, GAMBIA, US, UK, UAE",,,"Instead of MtM you can input Mark-to-Market, RWA, Notional, PV01, CR Delta, MV, BV, Market Value, Book Value, CR01, Principal",,"You can add split / grouping by asset class, currency, HQLA category, portfolio, issuer name, coupon type, strategy",,,,Bonds,UK,,,MtM,,,,
Position snapshot,Bonds,"For UNITED KINGDOM country, provide MtM, PV01, RWA and CR Delta amounts.",Get comprehensive risk metrics for a country.,,"You can input following countries: UNITED KINGDOM, HONG KONG, CHINA, JAPAN, THAILAND, GERMANY, SINGAPORE, TAIWAN, UNITED ARAB EMIRATES, UNITED STATES OF AMERICA, INDIA, MALAYSIA, VIETNAM, ZAMBIA, OMAN, INDONESIA, AUSTRALIA, PHILIPPINES, BAHRAIN, CAMEROON, BOTSWANA, QATAR, COTE D'IVOIRE, SOUTH AFRICA, BANGLADESH, GHANA, SRI LANKA, MAURITIUS, EGYPT, NIGERIA, NEPAL, MACAO, UGANDA, BRUNEI DARUSSALAM, KENYA, IRAQ, GAMBIA, US, UK, UAE",,,,,"You can add split / grouping by asset class, currency, HQLA category, portfolio, issuer name, coupon type, strategy",,,,,UNITED KINGDOM,,,,,,,
Trend Analytics,Bonds,"For UNITED KINGDOM country, provide over the period trend for MtM, PV01, RWA and CR Delta amounts.",Show comprehensive risk metric trends over time.,,"You can input following countries: UNITED KINGDOM, HONG KONG, CHINA, JAPAN, THAILAND, GERMANY, SINGAPORE, TAIWAN, UNITED ARAB EMIRATES, UNITED STATES OF AMERICA, INDIA, MALAYSIA, VIETNAM, ZAMBIA, OMAN, INDONESIA, AUSTRALIA, PHILIPPINES, BAHRAIN, CAMEROON, BOTSWANA, QATAR, COTE D'IVOIRE, SOUTH AFRICA, BANGLADESH, GHANA, SRI LANKA, MAURITIUS, EGYPT, NIGERIA, NEPAL, MACAO, UGANDA, BRUNEI DARUSSALAM, KENYA, IRAQ, GAMBIA, US, UK, UAE",,,,,,,,,,UNITED KINGDOM,,,,,,,
Trend Analytics,IRS,"For Bonds and IRS in UNITED KINGDOM country, provide over the period trend of PV01 and MtM.",Calculate metric changes for select products over the period.,,"You can input following countries: UNITED KINGDOM, HONG KONG, CHINA, JAPAN, THAILAND, GERMANY, SINGAPORE, TAIWAN, UNITED ARAB EMIRATES, UNITED STATES OF AMERICA, INDIA, MALAYSIA, VIETNAM, ZAMBIA, OMAN, INDONESIA, AUSTRALIA, PHILIPPINES, BAHRAIN, CAMEROON, BOTSWANA, QATAR, COTE D'IVOIRE, SOUTH AFRICA, BANGLADESH, GHANA, SRI LANKA, MAURITIUS, EGYPT, NIGERIA, NEPAL, MACAO, UGANDA, BRUNEI DARUSSALAM, KENYA, IRAQ, GAMBIA, US, UK, UAE",,,"Instead of MtM, PV01 you can input Mark-to-Market, Notional, CR Delta, MV, BV, Market Value, Book Value, CR01, Principal",,,,,,Bonds,UNITED KINGDOM,,,PV01 and MtM,,,,
ISIN position,Bonds,"For HONG KONG country, calculate difference for Bond notional, MtM and RWA between ISIN US91282CGB19 and ISIN HK000109253.",Compare two ISINs across multiple metrics for a country.,Instead of Bonds you can use Securities or Issuances,"You can input following countries: UNITED KINGDOM, HONG KONG, CHINA, JAPAN, THAILAND, GERMANY, SINGAPORE, TAIWAN, UNITED ARAB EMIRATES, UNITED STATES OF AMERICA, INDIA, MALAYSIA, VIETNAM, ZAMBIA, OMAN, INDONESIA, AUSTRALIA, PHILIPPINES, BAHRAIN, CAMEROON, BOTSWANA, QATAR, COTE D'IVOIRE, SOUTH AFRICA, BANGLADESH, GHANA, SRI LANKA, MAURITIUS, EGYPT, NIGERIA, NEPAL, MACAO, UGANDA, BRUNEI DARUSSALAM, KENYA, IRAQ, GAMBIA, US, UK, UAE",,,,,,You can input any Bond or Issuance ISIN or CUSIP,,,Bond,HONG KONG,,,,,,ISIN US91282CGB19 and ISIN HK00010925,
Trend Analytics,Bonds,"For TAIWAN country, provide over the period trend for notional, PV01 and MtM.","Provide trend for Notional, MtM, and PV01.",Instead of Bonds you can use Securities or Issuances,"You can input following countries: UNITED KINGDOM, HONG KONG, CHINA, JAPAN, THAILAND, GERMANY, SINGAPORE, TAIWAN, UNITED ARAB EMIRATES, UNITED STATES OF AMERICA, INDIA, MALAYSIA, VIETNAM, ZAMBIA, OMAN, INDONESIA, AUSTRALIA, PHILIPPINES, BAHRAIN, CAMEROON, BOTSWANA, QATAR, COTE D'IVOIRE, SOUTH AFRICA, BANGLADESH, GHANA, SRI LANKA, MAURITIUS, EGYPT, NIGERIA, NEPAL, MACAO, UGANDA, BRUNEI DARUSSALAM, KENYA, IRAQ, GAMBIA, US, UK, UAE",,,,,,,,,,TAIWAN,,,,,,,
Yield snapshot,Bonds,Provide weighted average holding yield for Bonds.,Calculate weighted average yields for bonds.,Instead of Bonds you can use Securities or Issuances,,,,,,"You can add split / grouping by asset class, currency, HQLA category, portfolio, issuer name, coupon type, strategy",,,,Bonds,,,,,,,,
Trend Analytics,Bonds,"For UK FVOCI, calculate notional change from January 2025 to the most recent COB date.",Calculate notional changes for FVOCI between dates.,Instead of Bonds you can use Securities or Issuances,"You can input following countries: UNITED KINGDOM, HONG KONG, CHINA, JAPAN, THAILAND, GERMANY, SINGAPORE, TAIWAN, UNITED ARAB EMIRATES, UNITED STATES OF AMERICA, INDIA, MALAYSIA, VIETNAM, ZAMBIA, OMAN, INDONESIA, AUSTRALIA, PHILIPPINES, BAHRAIN, CAMEROON, BOTSWANA, QATAR, COTE D'IVOIRE, SOUTH AFRICA, BANGLADESH, GHANA, SRI LANKA, MAURITIUS, EGYPT, NIGERIA, NEPAL, MACAO, UGANDA, BRUNEI DARUSSALAM, KENYA, IRAQ, GAMBIA, US, UK, UAE",Instead of FVOCI you can use HTC,,"Instead of Notional you can input MtM, Mark-to-Market, RWA, PV01, CR Delta, MV, BV, Market Value, Book Value, CR01, Principal","for COB / Report date you can input all month ends since Dec 2024 to Jan 2025, and most recent intramonth date (2025-07-15)",,,,,,UK,FVOCI,,notional,most recent,,,
ISIN position,Bonds,"For UK country, provide Bonds with the most negative MtM for the most recent COB date.",Find bonds with the worst performance in a country.,Instead of Bonds you can use Securities or Issuances,"You can input following countries: UNITED KINGDOM, HONG KONG, CHINA, JAPAN, THAILAND, GERMANY, SINGAPORE, TAIWAN, UNITED ARAB EMIRATES, UNITED STATES OF AMERICA, INDIA, MALAYSIA, VIETNAM, ZAMBIA, OMAN, INDONESIA, AUSTRALIA, PHILIPPINES, BAHRAIN, CAMEROON, BOTSWANA, QATAR, COTE D'IVOIRE, SOUTH AFRICA, BANGLADESH, GHANA, SRI LANKA, MAURITIUS, EGYPT, NIGERIA, NEPAL, MACAO, UGANDA, BRUNEI DARUSSALAM, KENYA, IRAQ, GAMBIA, US, UK, UAE",,,"Instead of MtM you can input Mark-to-Market, RWA, Notional, PV01, CR Delta, MV, BV, Market Value, Book Value, CR01, Principal","for COB / Report date you can input all month ends since Dec 2024 to Jan 2025, and most recent intramonth date (2025-07-15)",,,,,Bonds,UK,,,MtM,most recent,,,
Position split,Bonds,Provide RWA for UNITED KINGDOM country and group it by securities type.,Group bonds RWA by currency and issuer.,Instead of Bonds you can use Securities or Issuances,"You can input following countries: UNITED KINGDOM, HONG KONG, CHINA, JAPAN, THAILAND, GERMANY, SINGAPORE, TAIWAN, UNITED ARAB EMIRATES, UNITED STATES OF AMERICA, INDIA, MALAYSIA, VIETNAM, ZAMBIA, OMAN, INDONESIA, AUSTRALIA, PHILIPPINES, BAHRAIN, CAMEROON, BOTSWANA, QATAR, COTE D'IVOIRE, SOUTH AFRICA, BANGLADESH, GHANA, SRI LANKA, MAURITIUS, EGYPT, NIGERIA, NEPAL, MACAO, UGANDA, BRUNEI DARUSSALAM, KENYA, IRAQ, GAMBIA, US, UK, UAE",,,"Instead of RWA you can input MtM, Mark-to-Market, Notional, PV01, CR Delta, MV, BV, Market Value, Book Value, CR01, Principal",,"Instead of grouping by securities type, you can choose currency, HQLA category, portfolio, issuer name, asset class, coupon type, strategy",,,,Securities,UNITED KINGDOM,,,RWA,,securities type,,
Position split,Bonds,"For NIGERIA country, provide Bonds notional amount and group it by currency.",Group notional amounts for FVOCI by currency and issuer.,Instead of Bonds you can use Securities or Issuances,"You can input following countries: UNITED KINGDOM, HONG KONG, CHINA, JAPAN, THAILAND, GERMANY, SINGAPORE, TAIWAN, UNITED ARAB EMIRATES, UNITED STATES OF AMERICA, INDIA, MALAYSIA, VIETNAM, ZAMBIA, OMAN, INDONESIA, AUSTRALIA, PHILIPPINES, BAHRAIN, CAMEROON, BOTSWANA, QATAR, COTE D'IVOIRE, SOUTH AFRICA, BANGLADESH, GHANA, SRI LANKA, MAURITIUS, EGYPT, NIGERIA, NEPAL, MACAO, UGANDA, BRUNEI DARUSSALAM, KENYA, IRAQ, GAMBIA, US, UK, UAE",,,"Instead of Notional you can input MtM, Mark-to-Market, RWA, PV01, CR Delta, MV, BV, Market Value, Book Value, CR01, Principal",,"Instead of grouping by currency, you can choose HQLA category, portfolio, issuer name, asset class, coupon type, strategy",,,,Bonds,NIGERIA,,,notional,,currency,,
Position snapshot,Issuances,Provide notional and Book Value amounts for Bonds and Issuances.,Get specific metrics for instruments in a country.,Instead of Issuances you can use Securities or Bonds,,,,"Instead of Notional and Book Value you can input Mark-to-Market, MtM, RWA, PV01, CR Delta, MV, BV, Market Value, CR01, Principal",,"You can add split / grouping by issue type, currency, HQLA category, portfolio, issuer name, coupon type, strategy",,,,Bonds,,,,notional,,,,
Position snapshot,Bonds,Provide notional and PV01 amounts for FVOCI portfolios for COB March 2025,Get FVOCI portfolio metrics for a specific date.,Instead of Bonds you can use Securities or Issuances,,,,"Instead of Notional and PV01 you can input Mark-to-Market, MtM, RWA, CR Delta, MV, BV, Market Value, Book Value, CR01, Principal","for COB / Report date you can input all month ends since Dec 2024 to Jan 2025, and most recent intramonth date (2025-07-15)","You can add split / grouping by asset class, currency, HQLA category, portfolio, issuer name, coupon type, strategy",,,,,,,,notional,25-Mar,,,
Yield snapshot,Bonds,"For Bonds in KENYA country, calculate weighted average holding yield.",Calculate country-specific weighted average yields.,Instead of Bonds you can use Securities or Issuances,"You can input following countries: UNITED KINGDOM, HONG KONG, CHINA, JAPAN, THAILAND, GERMANY, SINGAPORE, TAIWAN, UNITED ARAB EMIRATES, UNITED STATES OF AMERICA, INDIA, MALAYSIA, VIETNAM, ZAMBIA, OMAN, INDONESIA, AUSTRALIA, PHILIPPINES, BAHRAIN, CAMEROON, BOTSWANA, QATAR, COTE D'IVOIRE, SOUTH AFRICA, BANGLADESH, GHANA, SRI LANKA, MAURITIUS, EGYPT, NIGERIA, NEPAL, MACAO, UGANDA, BRUNEI DARUSSALAM, KENYA, IRAQ, GAMBIA, US, UK, UAE",,,,,"You can add split / grouping by asset class, currency, HQLA category, portfolio, issuer name, coupon type, strategy",,,,Bonds,KENYA,,,,,,,
Position snapshot,Bonds,"For KENYA country, provide MtM amount for Bonds.",Get basic position metrics for a country.,Instead of Bonds you can use Securities or Issuances,"You can input following countries: UNITED KINGDOM, HONG KONG, CHINA, JAPAN, THAILAND, GERMANY, SINGAPORE, TAIWAN, UNITED ARAB EMIRATES, UNITED STATES OF AMERICA, INDIA, MALAYSIA, VIETNAM, ZAMBIA, OMAN, INDONESIA, AUSTRALIA, PHILIPPINES, BAHRAIN, CAMEROON, BOTSWANA, QATAR, COTE D'IVOIRE, SOUTH AFRICA, BANGLADESH, GHANA, SRI LANKA, MAURITIUS, EGYPT, NIGERIA, NEPAL, MACAO, UGANDA, BRUNEI DARUSSALAM, KENYA, IRAQ, GAMBIA, US, UK, UAE",,,"Instead of MtM you can input Mark-to-Market, RWA, Notional, PV01, CR Delta, MV, BV, Market Value, Book Value, CR01, Principal",,"You can add split / grouping by asset class, currency, HQLA category, portfolio, issuer name, coupon type, strategy",,,,Bonds,KENYA,,,MtM,,,,
Position snapshot,Bonds,"For GERMANY country, provide notional for the structural hedges.",Provide notional for structural hedges.,Instead of Bonds you can use Securities or Issuances,"You can input following countries: UNITED KINGDOM, HONG KONG, CHINA, JAPAN, THAILAND, GERMANY, SINGAPORE, TAIWAN, UNITED ARAB EMIRATES, UNITED STATES OF AMERICA, INDIA, MALAYSIA, VIETNAM, ZAMBIA, OMAN, INDONESIA, AUSTRALIA, PHILIPPINES, BAHRAIN, CAMEROON, BOTSWANA, QATAR, COTE D'IVOIRE, SOUTH AFRICA, BANGLADESH, GHANA, SRI LANKA, MAURITIUS, EGYPT, NIGERIA, NEPAL, MACAO, UGANDA, BRUNEI DARUSSALAM, KENYA, IRAQ, GAMBIA, US, UK, UAE",,,"Instead of Notional you can input MtM, Mark-to-Market, RWA, PV01, CR Delta, MV, BV, Market Value, Book Value, CR01, Principal",,"You can add split / grouping by asset class, currency, HQLA category, portfolio, issuer name, coupon type, strategy",,,,,GERMANY,,,notional,,,,
ISIN position,Bonds,Provide a list of countries where ISIN US91282CGB19 was held.,Show global exposure for a specific ISIN.,,,,,,,,You can input any Bond or Issuance ISIN or CUSIP,,,,,,,,,,ISIN US91282CGB19,
